CONTAINER ID   IMAGE                                                   COMMAND                  CREATED        STATUS                   PORTS                                                                                                                                                                          NAMES
686f7c539e2f   vulhub/confluence:7.13.6                                "/usr/bin/tini -- /e…"   7 hours ago    Up 7 hours               8091/tcp, 0.0.0.0:8401->8090/tcp, [::]:8401->8090/tcp                                                                                                                          cve-2022-26134-web-1
4fa712035aad   vulhub/aj-report:1.4.0                                  "bash /docker-entryp…"   7 hours ago    Up 7 hours               0.0.0.0:5005->5005/tcp, [::]:5005->5005/tcp, 0.0.0.0:9095->9095/tcp, [::]:9095->9095/tcp                                                                                       cnvd-2024-15077-web-1
b1030302586d   vulhub/appweb:7.0.1                                     "appweb"                 7 hours ago    Up 7 hours               0.0.0.0:8096->8080/tcp, [::]:8096->8080/tcp                                                                                                                                    cve-2018-8715-web-1
8c49ab18cb43   cve-2017-15715-apache                                   "apache2-foreground"     7 hours ago    Up 7 hours               0.0.0.0:8081->80/tcp, [::]:8081->80/tcp                                                                                                                                        cve-2017-15715-apache-1
5eff6873e470   cve-2021-42013-apache                                   "httpd-foreground"       7 hours ago    Up 7 hours               0.0.0.0:8170->80/tcp, [::]:8170->80/tcp                                                                                                                                        cve-2021-42013-apache-1
04ecafe06ac0   cve-2021-41773-apache                                   "httpd-foreground"       7 hours ago    Up 7 hours               0.0.0.0:8083->80/tcp, [::]:8083->80/tcp                                                                                                                                        cve-2021-41773-apache-1
3c6ba55822ff   vulhub/couchdb:2.1.0                                    "/docker-entrypoint.…"   7 hours ago    Up 7 hours               4369/tcp, 9100/tcp, 0.0.0.0:8158->5984/tcp, [::]:8158->5984/tcp                                                                                                                cve-2017-12635-couchdb-1
dea01fd60d95   vulhub/bash:4.3.0-with-httpd                            "apache2ctl -DFOREGR…"   7 hours ago    Up 7 hours               0.0.0.0:8315->80/tcp, [::]:8315->80/tcp                                                                                                                                        cve-2014-6271-web-1
64e4d7261292   vulhub/nacos:1.4.0                                      "/__cacert_entrypoin…"   7 hours ago    Up 7 hours               0.0.0.0:8308->5005/tcp, [::]:8308->5005/tcp, 0.0.0.0:8309->8848/tcp, [::]:8309->8848/tcp                                                                                       cve-2021-29442-web-1
d8430e964ebc   vulhub/mini_httpd:1.29                                  "mini_httpd -p 8080 …"   7 hours ago    Up 7 hours               0.0.0.0:8201->8080/tcp, [::]:8201->8080/tcp                                                                                                                                    cve-2018-18778-mini_httpd-1
5bfcb2a41e0e   vulhub/librsvg:2.50.7-php                               "php -t /var/www/htm…"   7 hours ago    Up 7 hours               0.0.0.0:8186->8080/tcp, [::]:8186->8080/tcp                                                                                                                                    cve-2023-38633-web-1
a721f982b03c   vulhub/jimureport:1.6.0                                 "bash /docker-entryp…"   7 hours ago    Up 7 hours               0.0.0.0:8303->5005/tcp, [::]:8303->5005/tcp, 0.0.0.0:8304->8085/tcp, [::]:8304->8085/tcp                                                                                       cve-2023-4450-web-1
95a6068b838b   vulhub/grafana:8.2.6                                    "/run.sh"                7 hours ago    Up 7 hours               0.0.0.0:8346->3000/tcp, [::]:8346->3000/tcp                                                                                                                                    cve-2021-43798-web-1
23a19c05b3af   vulhub/flink:1.11.2                                     "/docker-entrypoint.…"   7 hours ago    Up 7 hours               0.0.0.0:8255->6123/tcp, [::]:8255->6123/tcp, 0.0.0.0:8209->8081/tcp, [::]:8209->8081/tcp                                                                                       cve-2020-17519-flink-1
4b6d9bc341da   vulhub/jenkins:2.441                                    "/usr/bin/tini -- /u…"   7 hours ago    Up 7 hours               0.0.0.0:8271->5005/tcp, [::]:8271->5005/tcp, 0.0.0.0:8183->8080/tcp, [::]:8183->8080/tcp, 0.0.0.0:8272->50000/tcp, [::]:8272->50000/tcp                                        cve-2024-23897-jenkins-1
7bcaca0ba206   drupal:7.57                                             "docker-php-entrypoi…"   7 hours ago    Up 7 hours               0.0.0.0:8200->80/tcp, [::]:8200->80/tcp                                                                                                                                        cve-2018-7602-web-1
a6f6ab4cdadd   cve-2015-5531-es                                        "/docker-entrypoint.…"   7 hours ago    Up 7 hours               0.0.0.0:8129->9200/tcp, [::]:8129->9200/tcp, 0.0.0.0:8130->9300/tcp, [::]:8130->9300/tcp                                                                                       cve-2015-5531-es-1
188f3d4e0ba5   vulhub/elasticsearch:1.4.2                              "/docker-entrypoint.…"   7 hours ago    Up 7 hours               0.0.0.0:8127->9200/tcp, [::]:8127->9200/tcp, 0.0.0.0:8128->9300/tcp, [::]:8128->9300/tcp                                                                                       cve-2015-1427-es-1
6865fc25fe21   cve-2015-3337-es                                        "/docker-entrypoint.…"   7 hours ago    Up 7 hours               0.0.0.0:8159->9200/tcp, [::]:8159->9200/tcp, 0.0.0.0:8160->9300/tcp, [::]:8160->9300/tcp                                                                                       cve-2015-3337-es-1
c92a05b5aaea   vulhub/opentsdb:2.4.1                                   "/docker-entrypoint.…"   7 hours ago    Up 7 hours               0.0.0.0:8243->4242/tcp, [::]:8243->4242/tcp                                                                                                                                    cve-2023-25826-opentsdb-1
